Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         115000	         6	00100080	0800006f	jal	x0,100100	  x0=0x00000000
         125000	         7	00100100	f14022f3	csrrs	x5,mhartid,x0	  x0:0x00000000  x5=0x00000000
         135000	         8	00100104	4301	c.li	x6,0	  x6=0x00000000
         155000	        10	00100106	00628263	beq	x5,x6,10010a	  x5:0x00000000  x6:0x00000000
         185000	        13	0010010a	00000717	auipc	x14,0x0	 x14=0x0010010a
         195000	        14	0010010e	00c70713	addi	x14,x14,12	 x14:0x0010010a x14=0x00100116
         215000	        16	00100112	00070067	jalr	x0,0(x14)	 x14:0x00100116  x0=0x00000000
         235000	        18	00100116	40001db7	lui	x27,0x40001	 x27=0x40001000
         245000	        19	0010011a	104d8d93	addi	x27,x27,260	 x27:0x40001000 x27=0x40001104
         255000	        20	0010011e	301d9073	csrrw	x0,misa,x27	 x27:0x40001104  x0=0x00000000
         285000	        23	00100122	0000cf97	auipc	x31,0xc	 x31=0x0010c122
         295000	        24	00100126	b62f8f93	addi	x31,x31,-1182	 x31:0x0010c122 x31=0x0010bc84
         305000	        25	0010012a	00001d97	auipc	x27,0x1	 x27=0x0010112a
         315000	        26	0010012e	dd6d8d93	addi	x27,x27,-554	 x27:0x0010112a x27=0x00100f00
         325000	        27	00100132	001ded93	ori	x27,x27,1	 x27:0x00100f00 x27=0x00100f01
         335000	        28	00100136	305d9073	csrrw	x0,mtvec,x27	 x27:0x00100f01  x0=0x00000000
         365000	        31	0010013a	00000d97	auipc	x27,0x0	 x27=0x0010013a
         375000	        32	0010013e	024d8d93	addi	x27,x27,36	 x27:0x0010013a x27=0x0010015e
         385000	        33	00100142	341d9073	csrrw	x0,mepc,x27	 x27:0x0010015e  x0=0x00000000
         395000	        34	00100146	6d89	c.lui	x27,0x2	 x27=0x00002000
         405000	        35	00100148	ebad8d93	addi	x27,x27,-326	 x27:0x00002000 x27=0x00001eba
         415000	        36	0010014c	300d9073	csrrw	x0,mstatus,x27	 x27:0x00001eba  x0=0x00000000
         445000	        39	00100150	6d85	c.lui	x27,0x1	 x27=0x00001000
         455000	        40	00100152	b0bd8d93	addi	x27,x27,-1269	 x27:0x00001000 x27=0x00000b0b
         465000	        41	00100156	304d9073	csrrw	x0,mie,x27	 x27:0x00000b0b  x0=0x00000000
         495000	        44	0010015a	30200073	mret	
         535000	        48	0010015e	80000037	lui	x0,0x80000	  x0=0x00000000
         545000	        49	00100162	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         555000	        50	00100164	409d	c.li	x1,7	  x1=0x00000007
         565000	        51	00100166	4101	c.li	x2,0	  x2=0x00000000
         575000	        52	00100168	800001b7	lui	x3,0x80000	  x3=0x80000000
         585000	        53	0010016c	adb1f237	lui	x4,0xadb1f	  x4=0xadb1f000
         595000	        54	00100170	85e20213	addi	x4,x4,-1954	  x4:0xadb1f000  x4=0xadb1e85e
         605000	        55	00100174	800002b7	lui	x5,0x80000	  x5=0x80000000
         615000	        56	00100178	4301	c.li	x6,0	  x6=0x00000000
         625000	        57	0010017a	4395	c.li	x7,5	  x7=0x00000005
         635000	        58	0010017c	fa1f5437	lui	x8,0xfa1f5	  x8=0xfa1f5000
         645000	        59	00100180	a0b40413	addi	x8,x8,-1525	  x8:0xfa1f5000  x8=0xfa1f4a0b
         655000	        60	00100184	800004b7	lui	x9,0x80000	  x9=0x80000000
         665000	        61	00100188	4501	c.li	x10,0	 x10=0x00000000
         675000	        62	0010018a	4581	c.li	x11,0	 x11=0x00000000
         685000	        63	0010018c	4601	c.li	x12,0	 x12=0x00000000
         695000	        64	0010018e	800006b7	lui	x13,0x80000	 x13=0x80000000
         705000	        65	00100192	f8806737	lui	x14,0xf8806	 x14=0xf8806000
         715000	        66	00100196	0a270713	addi	x14,x14,162	 x14:0xf8806000 x14=0xf88060a2
         725000	        67	0010019a	4781	c.li	x15,0	 x15=0x00000000
         735000	        68	0010019c	80000837	lui	x16,0x80000	 x16=0x80000000
         745000	        69	001001a0	48b5	c.li	x17,13	 x17=0x0000000d
         755000	        70	001001a2	4931	c.li	x18,12	 x18=0x0000000c
         765000	        71	001001a4	b5cbe9b7	lui	x19,0xb5cbe	 x19=0xb5cbe000
         775000	        72	001001a8	71c98993	addi	x19,x19,1820	 x19:0xb5cbe000 x19=0xb5cbe71c
         785000	        73	001001ac	f73a6a37	lui	x20,0xf73a6	 x20=0xf73a6000
         795000	        74	001001b0	391a0a13	addi	x20,x20,913	 x20:0xf73a6000 x20=0xf73a6391
         805000	        75	001001b4	4a81	c.li	x21,0	 x21=0x00000000
         815000	        76	001001b6	4b31	c.li	x22,12	 x22=0x0000000c
         825000	        77	001001b8	80000bb7	lui	x23,0x80000	 x23=0x80000000
         835000	        78	001001bc	1cea7c37	lui	x24,0x1cea7	 x24=0x1cea7000
         845000	        79	001001c0	34bc0c13	addi	x24,x24,843	 x24:0x1cea7000 x24=0x1cea734b
         855000	        80	001001c4	ff22acb7	lui	x25,0xff22a	 x25=0xff22a000
         865000	        81	001001c8	637c8c93	addi	x25,x25,1591	 x25:0xff22a000 x25=0xff22a637
         875000	        82	001001cc	80000d37	lui	x26,0x80000	 x26=0x80000000
         885000	        83	001001d0	e183bdb7	lui	x27,0xe183b	 x27=0xe183b000
         895000	        84	001001d4	cddd8d93	addi	x27,x27,-803	 x27:0xe183b000 x27=0xe183acdd
         905000	        85	001001d8	4e19	c.li	x28,6	 x28=0x00000006
         915000	        86	001001da	6b39beb7	lui	x29,0x6b39b	 x29=0x6b39b000
         925000	        87	001001de	fdce8e93	addi	x29,x29,-36	 x29:0x6b39b000 x29=0x6b39afdc
         935000	        88	001001e2	00007f17	auipc	x30,0x7	 x30=0x001071e2
         945000	        89	001001e6	c82f0f13	addi	x30,x30,-894	 x30:0x001071e2 x30=0x00106e64
        1315000	       126	001001ea	03c9c833	div	x16,x19,x28	 x19:0xb5cbe71c x28:0x00000006 x16=0xf3a1fbda
        1325000	       127	001001ee	0230c163	blt	x1,x3,100210	  x1:0x00000007  x3:0x80000000
        1345000	       129	001001f2	02ffd633	divu	x12,x31,x15	 x31:0x0010bc84 x15:0x00000000 x12=0xffffffff
        1355000	       130	001001f6	8ac5	c.andi	x13,17	 x13:0x80000000 x13=0x00000000
        1365000	       131	001001f8	0083a233	slt	x4,x7,x8	  x7:0x00000005  x8:0xfa1f4a0b  x4=0x00000000
        1735000	       168	001001fc	034e6e33	rem	x28,x28,x20	 x28:0x00000006 x20:0xf73a6391 x28=0x00000006
        1745000	       169	00100200	11fd	c.addi	x3,-1	  x3:0x80000000  x3=0x7fffffff
        1765000	       171	00100202	023f1763	bne	x30,x3,100230	 x30:0x00106e64  x3:0x7fffffff
        1785000	       173	00100230	cc03cc93	xori	x25,x7,-832	  x7:0x00000005 x25=0xfffffcc5
        1795000	       174	00100234	8a62	c.mv	x20,x24	  x0:0x00000000 x24:0x1cea734b x20=0x1cea734b
        1805000	       175	00100236	938e6d17	auipc	x26,0x938e6	 x26=0x939e6236
        1825000	       177	0010023a	032c9a63	bne	x25,x18,10026e	 x25:0xfffffcc5 x18:0x0000000c
        2215000	       216	0010026e	0311d1b3	divu	x3,x3,x17	  x3:0x7fffffff x17:0x0000000d  x3=0x09d89d89
        2225000	       217	00100272	004aaa33	slt	x20,x21,x4	 x21:0x00000000  x4:0x00000000 x20=0x00000000
        2235000	       218	00100276	8eb5	c.xor	x13,x13	 x13:0x00000000 x13:0x00000000 x13=0x00000000
        2275000	       222	00100278	03333233	mulhu	x4,x6,x19	  x6:0x00000000 x19:0xb5cbe71c  x4=0x00000000
        2295000	       224	0010027c	ca89	c.beqz	x13,10028e	 x13:0x00000000
        2315000	       226	0010028e	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
        2325000	       227	00100290	c211	c.beqz	x12,100294	 x12:0xffffffff
        2335000	       228	00100292	8cfd	c.and	x9,x15	  x9:0x80000000 x15:0x00000000  x9=0x00000000
        2345000	       229	00100294	00f05eb3	srl	x29,x0,x15	  x0:0x00000000 x15:0x00000000 x29=0x00000000
        2355000	       230	00100298	0002b5b3	sltu	x11,x5,x0	  x5:0x80000000  x0:0x00000000 x11=0x00000000
        2365000	       231	0010029c	413fdb93	srai	x23,x31,0x13	 x31:0x0010bc84 x23=0x00000002
        2405000	       235	001002a0	021820b3	mulhsu	x1,x16,x1	 x16:0xf3a1fbda  x1:0x00000007  x1=0xffffffff
        2415000	       236	001002a4	8e99	c.sub	x13,x14	 x13:0x00000000 x14:0xf88060a2 x13=0x077f9f5e
        2425000	       237	001002a6	001f52b3	srl	x5,x30,x1	 x30:0x00106e64  x1:0xffffffff  x5=0x00000000
        2435000	       238	001002aa	f87b0017	auipc	x0,0xf87b0	  x0=0x00000000
        2455000	       240	001002ae	02aedd33	divu	x26,x29,x10	 x29:0x00000000 x10:0x00000000 x26=0xffffffff
        2465000	       241	001002b2	41348c33	sub	x24,x9,x19	  x9:0x00000000 x19:0xb5cbe71c x24=0x4a3418e4
        2475000	       242	001002b6	8eb5	c.xor	x13,x13	 x13:0x077f9f5e x13:0x077f9f5e x13=0x00000000
        2485000	       243	001002b8	0714	c.addi4spn	x13,x2,896	 x13=0x00000380
        2505000	       245	001002ba	03b16f63	bltu	x2,x27,1002f8	  x2:0x00000000 x27:0xe183acdd
